2019-12-05 10:24:40  INFO LoggerFactory:? - using logger: org.apache.dubbo.common.logger.log4j.Log4jLoggerAdapter
2019-12-05 10:24:47  INFO ZookeeperRegistry:399 -  [DUBBO] Notify urls for subscribe url consumer://192.168.2.1/com.study.userserviceapi.service.IUserService?application=coupon-app&category=providers,configurators,routers&dubbo=2.0.2&interface=com.study.userserviceapi.service.IUserService&lazy=false&methods=findUserById&pid=229144&release=2.7.2&revision=0.0.1-SNAPSHOT&side=consumer&sticky=false&timestamp=1575512683513, urls: [dubbo://192.168.104.104:20882/com.study.userserviceapi.service.IUserService?accesslog=dubbo-access.log&anyhost=true&application=user-app&bean.name=ServiceBean:com.study.userserviceapi.service.IUserService&deprecated=false&dubbo=2.0.2&dynamic=true&generic=false&interface=com.study.userserviceapi.service.IUserService&methods=findUserById&pid=10034&register=true&release=2.7.2&retries=0&revision=0.0.1-SNAPSHOT&side=provider&timeout=3000&timestamp=1575511848762, dubbo://192.168.104.104:20880/com.study.userserviceapi.service.IUserService?accesslog=dubbo-access.log&anyhost=true&application=user-app&bean.name=ServiceBean:com.study.userserviceapi.service.IUserService&deprecated=false&dubbo=2.0.2&dynamic=true&generic=false&interface=com.study.userserviceapi.service.IUserService&methods=findUserById&pid=10032&register=true&release=2.7.2&retries=0&revision=0.0.1-SNAPSHOT&side=provider&timeout=3000&timestamp=1575511848797, dubbo://192.168.104.104:20881/com.study.userserviceapi.service.IUserService?accesslog=dubbo-access.log&anyhost=true&application=user-app&bean.name=ServiceBean:com.study.userserviceapi.service.IUserService&deprecated=false&dubbo=2.0.2&dynamic=true&generic=false&interface=com.study.userserviceapi.service.IUserService&methods=findUserById&pid=10033&register=true&release=2.7.2&retries=0&revision=0.0.1-SNAPSHOT&side=provider&timeout=3000&timestamp=1575511848766, empty://192.168.2.1/com.study.userserviceapi.service.IUserService?application=coupon-app&category=configurators&dubbo=2.0.2&interface=com.study.userserviceapi.service.IUserService&lazy=false&methods=findUserById&pid=229144&release=2.7.2&revision=0.0.1-SNAPSHOT&side=consumer&sticky=false&timestamp=1575512683513, empty://192.168.2.1/com.study.userserviceapi.service.IUserService?application=coupon-app&category=routers&dubbo=2.0.2&interface=com.study.userserviceapi.service.IUserService&lazy=false&methods=findUserById&pid=229144&release=2.7.2&revision=0.0.1-SNAPSHOT&side=consumer&sticky=false&timestamp=1575512683513], dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 10:24:48  INFO AbstractClient:199 -  [DUBBO] Succeed connect to server /192.168.104.104:20882 from NettyClient 192.168.2.1 using dubbo version 2.7.2, channel is NettyChannel [channel=[id: 0xc6f96093, L:/192.168.104.111:63933 - R:/192.168.104.104:20882]], dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 10:24:48  INFO AbstractClient:71 -  [DUBBO] Start NettyClient LAPTOP-QDM8B4OK/192.168.2.1 connect to the server /192.168.104.104:20882, dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 10:24:48  INFO AbstractClient:199 -  [DUBBO] Succeed connect to server /192.168.104.104:20880 from NettyClient 192.168.2.1 using dubbo version 2.7.2, channel is NettyChannel [channel=[id: 0x51192d94, L:/192.168.104.111:63934 - R:/192.168.104.104:20880]], dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 10:24:48  INFO AbstractClient:71 -  [DUBBO] Start NettyClient LAPTOP-QDM8B4OK/192.168.2.1 connect to the server /192.168.104.104:20880, dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 10:24:48  INFO AbstractClient:199 -  [DUBBO] Succeed connect to server /192.168.104.104:20881 from NettyClient 192.168.2.1 using dubbo version 2.7.2, channel is NettyChannel [channel=[id: 0xf6ad0ae8, L:/192.168.104.111:63935 - R:/192.168.104.104:20881]], dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 10:24:48  INFO AbstractClient:71 -  [DUBBO] Start NettyClient LAPTOP-QDM8B4OK/192.168.2.1 connect to the server /192.168.104.104:20881, dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 10:24:48  INFO AbstractConfig:421 -  [DUBBO] Refer dubbo service com.study.userserviceapi.service.IUserService from url zookeeper://192.168.104.104:2181/org.apache.dubbo.registry.RegistryService?accesslog=dubbo-access.log&anyhost=true&application=coupon-app&bean.name=ServiceBean:com.study.userserviceapi.service.IUserService&check=false&deprecated=false&dubbo=2.0.2&dynamic=true&generic=false&interface=com.study.userserviceapi.service.IUserService&lazy=false&methods=findUserById&monitor=dubbo%3A%2F%2F192.168.104.104%3A2181%2Forg.apache.dubbo.registry.RegistryService%3Fapplication%3Dcoupon-app%26dubbo%3D2.0.2%26pid%3D229144%26protocol%3Dregistry%26refer%3Dapplication%253Dcoupon-app%2526dubbo%253D2.0.2%2526interface%253Dorg.apache.dubbo.monitor.MonitorService%2526pid%253D229144%2526register.ip%253D192.168.2.1%2526release%253D2.7.2%2526timestamp%253D1575512684403%26registry%3Dzookeeper%26release%3D2.7.2%26timestamp%3D1575512684398&pid=229144&register=true&register.ip=192.168.2.1&release=2.7.2&remote.application=user-app&retries=0&revision=0.0.1-SNAPSHOT&side=consumer&sticky=false&timeout=3000&timestamp=1575512683513, dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 10:24:48  INFO ZookeeperTransporter:58 -  [DUBBO] find valid zookeeper client from the cache for address: zookeeper://192.168.104.104:2181/org.apache.dubbo.metadata.store.MetadataReport, dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 10:24:48  INFO ZookeeperMetadataReport:267 -  [DUBBO] store consumer metadata. Identifier : org.apache.dubbo.metadata.identifier.MetadataIdentifier@9dd2aa; definition: {side=consumer, application=coupon-app, release=2.7.2, methods=findUserById, lazy=false, sticky=false, dubbo=2.0.2, monitor=dubbo%3A%2F%2F192.168.104.104%3A2181%2Forg.apache.dubbo.registry.RegistryService%3Fapplication%3Dcoupon-app%26dubbo%3D2.0.2%26pid%3D229144%26protocol%3Dregistry%26refer%3Dapplication%253Dcoupon-app%2526dubbo%253D2.0.2%2526interface%253Dorg.apache.dubbo.monitor.MonitorService%2526pid%253D229144%2526register.ip%253D192.168.2.1%2526release%253D2.7.2%2526timestamp%253D1575512684403%26registry%3Dzookeeper%26release%3D2.7.2%26timestamp%3D1575512684398, interface=com.study.userserviceapi.service.IUserService, revision=0.0.1-SNAPSHOT}, dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 10:24:52  INFO AbstractRegistryFactory:68 -  [DUBBO] Close all registries [zookeeper://192.168.104.104:2181/org.apache.dubbo.registry.RegistryService?application=coupon-app&dubbo=2.0.2&interface=org.apache.dubbo.registry.RegistryService&pid=229144&release=2.7.2&timestamp=1575512684398], dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 10:24:52  INFO ZookeeperRegistry:458 -  [DUBBO] Destroy registry:zookeeper://192.168.104.104:2181/org.apache.dubbo.registry.RegistryService?application=coupon-app&dubbo=2.0.2&interface=org.apache.dubbo.registry.RegistryService&pid=229144&release=2.7.2&timestamp=1575512684398, dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 10:24:52  INFO ZookeeperRegistry:291 -  [DUBBO] Unregister: consumer://192.168.2.1/com.study.userserviceapi.service.IUserService?application=coupon-app&category=consumers&check=false&dubbo=2.0.2&interface=com.study.userserviceapi.service.IUserService&lazy=false&methods=findUserById&pid=229144&release=2.7.2&revision=0.0.1-SNAPSHOT&side=consumer&sticky=false&timestamp=1575512683513, dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 10:24:52  INFO ZookeeperRegistry:467 -  [DUBBO] Destroy unregister url consumer://192.168.2.1/com.study.userserviceapi.service.IUserService?application=coupon-app&category=consumers&check=false&dubbo=2.0.2&interface=com.study.userserviceapi.service.IUserService&lazy=false&methods=findUserById&pid=229144&release=2.7.2&revision=0.0.1-SNAPSHOT&side=consumer&sticky=false&timestamp=1575512683513, dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 10:24:52  INFO ZookeeperRegistry:320 -  [DUBBO] Unsubscribe: consumer://192.168.2.1/com.study.userserviceapi.service.IUserService?application=coupon-app&category=providers,configurators,routers&dubbo=2.0.2&interface=com.study.userserviceapi.service.IUserService&lazy=false&methods=findUserById&pid=229144&release=2.7.2&revision=0.0.1-SNAPSHOT&side=consumer&sticky=false&timestamp=1575512683513, dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 10:24:52  INFO ZookeeperRegistry:483 -  [DUBBO] Destroy unsubscribe url consumer://192.168.2.1/com.study.userserviceapi.service.IUserService?application=coupon-app&category=providers,configurators,routers&dubbo=2.0.2&interface=com.study.userserviceapi.service.IUserService&lazy=false&methods=findUserById&pid=229144&release=2.7.2&revision=0.0.1-SNAPSHOT&side=consumer&sticky=false&timestamp=1575512683513, dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 10:24:52  INFO DubboProtocol:654 -  [DUBBO] Close dubbo connect: /192.168.104.111:63933-->/192.168.104.104:20882, dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 10:24:52  INFO NettyChannel:141 -  [DUBBO] Close netty channel [id: 0xc6f96093, L:/192.168.104.111:63933 - R:/192.168.104.104:20882], dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 10:24:52  INFO DubboProtocol:654 -  [DUBBO] Close dubbo connect: /192.168.104.111:63935-->/192.168.104.104:20881, dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 10:24:52  INFO NettyChannel:141 -  [DUBBO] Close netty channel [id: 0xf6ad0ae8, L:/192.168.104.111:63935 - R:/192.168.104.104:20881], dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 10:24:52  INFO DubboProtocol:654 -  [DUBBO] Close dubbo connect: /192.168.104.111:63934-->/192.168.104.104:20880, dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 10:24:52  INFO NettyChannel:141 -  [DUBBO] Close netty channel [id: 0x51192d94, L:/192.168.104.111:63934 - R:/192.168.104.104:20880], dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 10:24:52  INFO DubboProtocol:66 -  [DUBBO] Destroy reference: dubbo://192.168.104.104:20881/com.study.userserviceapi.service.IUserService?accesslog=dubbo-access.log&anyhost=true&application=coupon-app&bean.name=ServiceBean:com.study.userserviceapi.service.IUserService&check=false&deprecated=false&dubbo=2.0.2&dynamic=true&generic=false&interface=com.study.userserviceapi.service.IUserService&lazy=false&methods=findUserById&monitor=dubbo%3A%2F%2F192.168.104.104%3A2181%2Forg.apache.dubbo.registry.RegistryService%3Fapplication%3Dcoupon-app%26dubbo%3D2.0.2%26pid%3D229144%26protocol%3Dregistry%26refer%3Dapplication%253Dcoupon-app%2526dubbo%253D2.0.2%2526interface%253Dorg.apache.dubbo.monitor.MonitorService%2526pid%253D229144%2526register.ip%253D192.168.2.1%2526release%253D2.7.2%2526timestamp%253D1575512684403%26registry%3Dzookeeper%26release%3D2.7.2%26timestamp%3D1575512684398&pid=229144&register=true&register.ip=192.168.2.1&release=2.7.2&remote.application=user-app&retries=0&revision=0.0.1-SNAPSHOT&side=consumer&sticky=false&timeout=3000&timestamp=1575511848766, dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 10:24:52  INFO DubboProtocol:66 -  [DUBBO] Destroy reference: dubbo://192.168.104.104:20882/com.study.userserviceapi.service.IUserService?accesslog=dubbo-access.log&anyhost=true&application=coupon-app&bean.name=ServiceBean:com.study.userserviceapi.service.IUserService&check=false&deprecated=false&dubbo=2.0.2&dynamic=true&generic=false&interface=com.study.userserviceapi.service.IUserService&lazy=false&methods=findUserById&monitor=dubbo%3A%2F%2F192.168.104.104%3A2181%2Forg.apache.dubbo.registry.RegistryService%3Fapplication%3Dcoupon-app%26dubbo%3D2.0.2%26pid%3D229144%26protocol%3Dregistry%26refer%3Dapplication%253Dcoupon-app%2526dubbo%253D2.0.2%2526interface%253Dorg.apache.dubbo.monitor.MonitorService%2526pid%253D229144%2526register.ip%253D192.168.2.1%2526release%253D2.7.2%2526timestamp%253D1575512684403%26registry%3Dzookeeper%26release%3D2.7.2%26timestamp%3D1575512684398&pid=229144&register=true&register.ip=192.168.2.1&release=2.7.2&remote.application=user-app&retries=0&revision=0.0.1-SNAPSHOT&side=consumer&sticky=false&timeout=3000&timestamp=1575511848762, dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 10:24:52  INFO DubboProtocol:66 -  [DUBBO] Destroy reference: dubbo://192.168.104.104:20880/com.study.userserviceapi.service.IUserService?accesslog=dubbo-access.log&anyhost=true&application=coupon-app&bean.name=ServiceBean:com.study.userserviceapi.service.IUserService&check=false&deprecated=false&dubbo=2.0.2&dynamic=true&generic=false&interface=com.study.userserviceapi.service.IUserService&lazy=false&methods=findUserById&monitor=dubbo%3A%2F%2F192.168.104.104%3A2181%2Forg.apache.dubbo.registry.RegistryService%3Fapplication%3Dcoupon-app%26dubbo%3D2.0.2%26pid%3D229144%26protocol%3Dregistry%26refer%3Dapplication%253Dcoupon-app%2526dubbo%253D2.0.2%2526interface%253Dorg.apache.dubbo.monitor.MonitorService%2526pid%253D229144%2526register.ip%253D192.168.2.1%2526release%253D2.7.2%2526timestamp%253D1575512684403%26registry%3Dzookeeper%26release%3D2.7.2%26timestamp%3D1575512684398&pid=229144&register=true&register.ip=192.168.2.1&release=2.7.2&remote.application=user-app&retries=0&revision=0.0.1-SNAPSHOT&side=consumer&sticky=false&timeout=3000&timestamp=1575511848797, dubbo version: 2.7.2, current host: 192.168.2.1
2019-12-05 10:24:52  INFO Server:112 -  [DUBBO] qos-server stopped., dubbo version: 2.7.2, current host: 192.168.2.1
